Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
LRRK2	1	0	0	0	5	0	0	0	0	6	1	1
MAP4	0	0	0	0	5	1	0	0	0	6	1	1
NACA2	0	0	0	0	5	1	0	0	0	6	1	1
NBPF10	0	0	0	0	6	0	0	0	0	6	1	1
NBPF20	0	0	0	0	6	0	0	0	0	6	1	1
NUP210	0	0	0	0	6	0	0	0	0	6	1	1
OBSL1	0	0	0	0	6	0	0	0	0	6	1	1
PCDHB8	0	0	0	0	6	0	0	0	0	6	1	1
PITRM1	0	0	0	0	5	0	0	1	0	6	1	1
PLA2R1	0	0	0	0	6	0	0	0	0	6	1	1
PPIG	0	0	0	0	5	0	0	1	0	6	1	1
PREX1	0	0	0	0	6	0	0	0	0	6	1	1
RESF1	0	0	0	0	6	0	0	0	0	6	1	1
RGPD4	0	0	0	0	6	0	0	0	0	6	1	1
RREB1	0	0	0	0	6	0	0	0	0	6	1	1
SCART1	1	0	0	0	5	0	0	0	0	6	1	1
SETSIP	0	0	0	0	6	0	0	0	0	6	1	1
SETX	0	0	0	0	6	0	0	0	0	6	1	1
SLITRK2	1	0	0	0	5	0	0	0	0	6	1	1
SPTBN5	0	0	0	0	6	0	0	0	0	6	1	1
TAF1B	1	0	0	0	5	0	0	0	0	6	1	1
TAGAP	2	0	0	0	4	0	0	0	0	6	1	1
TASOR2	0	0	0	0	6	0	0	0	0	6	1	1
TLR1	0	0	0	0	6	0	0	0	0	6	1	1
TNKS1BP1	0	0	0	0	6	0	0	0	0	6	1	1
TRIM66	1	0	0	0	5	0	0	0	0	6	1	1
ZFPM1	2	0	1	0	2	1	0	0	0	6	1	1
ZNF221	1	0	0	0	5	0	0	0	0	6	1	1
ZNF45	0	0	0	0	6	0	0	0	0	6	1	1
ZNF468	0	0	0	0	6	0	0	0	0	6	1	1
ABCA7	0	0	0	0	5	0	0	0	0	5	1	1
AHRR	0	0	0	0	4	1	0	0	0	5	1	1
AKAP9	0	0	0	0	4	0	0	1	0	5	1	1
ANPEP	0	0	0	0	5	0	0	0	0	5	1	1
APC2	1	0	0	0	3	1	0	0	0	5	1	1
ATP10A	0	0	0	0	5	0	0	0	0	5	1	1
B4GALNT4	0	0	0	0	5	0	0	0	0	5	1	1
BTBD18	1	0	0	0	2	1	1	0	0	5	1	1
C17orf80	0	0	0	0	5	0	0	0	0	5	1	1
CARMIL3	1	0	0	0	3	0	0	0	1	5	1	1
